OBJECTID,Type,SizeClass,x,y
124,1,0,6279314.0000000,1838869.8750000
125,1,0,6279314.0000000,1838884.8750000
126,1,0,6279312.5000000,1838902.8750000
127,1,0,6279320.5000000,1838910.7500000
128,1,0,6279312.0000000,1838915.5000000
129,1,0,6279313.5000000,1838931.5000000
130,1,0,6279314.5000000,1838952.6250000
131,1,0,6279320.0000000,1838942.1250000
132,1,0,6279168.0000000,1838886.6250000
133,1,0,6279179.0000000,1838882.1250000
134,0,5,6279016.0000000,1838921.6250000
135,0,3,6278962.5000000,1838953.6250000
136,0,2,6278953.5000000,1838899.8750000
137,0,5,6278798.5000000,1839044.8750000
138,0,5,6278868.5000000,1839026.6250000
139,0,5,6279749.0000000,1838632.5000000
140,0,4,6278992.0000000,1839031.7500000
141,0,4,6278968.5000000,1839042.2500000
142,0,4,6278947.5000000,1839054.3750000
143,0,4,6279159.5000000,1839021.5000000
144,1,2,6282344.0000000,1837989.7500000
145,1,2,6282361.0000000,1837980.5000000
146,1,2,6282382.5000000,1837964.1250000
147,1,2,6282403.0000000,1837951.7500000
148,1,2,6282422.5000000,1837939.2500000
149,1,2,6282444.0000000,1837923.7500000
150,1,2,6282465.5000000,1837909.0000000
151,1,2,6282486.5000000,1837898.1250000
152,1,3,6279887.0000000,1839371.2500000
153,1,3,6279897.5000000,1839390.6250000
154,1,3,6279911.5000000,1839357.2500000
155,1,3,6279922.5000000,1839373.5000000
156,1,3,6279937.0000000,1839338.6250000
157,1,3,6279948.0000000,1839356.5000000
158,1,3,6279963.0000000,1839323.1250000
159,1,3,6279973.0000000,1839340.1250000
160,1,3,6279987.5000000,1839305.2500000
161,1,3,6279997.5000000,1839323.1250000
162,1,3,6280012.5000000,1839289.7500000
163,1,3,6280022.5000000,1839306.7500000
164,1,3,6280036.0000000,1839271.8750000
165,1,3,6280049.5000000,1839289.7500000
166,1,3,6280063.5000000,1839254.7500000
167,1,3,6280074.0000000,1839273.3750000
168,1,3,6280086.0000000,1839237.7500000
169,1,3,6280101.0000000,1839255.6250000
170,1,3,6280115.0000000,1839219.1250000
171,1,3,6280125.0000000,1839240.0000000
172,1,3,6280140.0000000,1839203.6250000
173,1,3,6280147.5000000,1839228.3750000
174,1,3,6280135.0000000,1839146.1250000
175,1,3,6280110.5000000,1839162.3750000
176,1,3,6280084.0000000,1839178.7500000
177,1,3,6280064.5000000,1839192.7500000
178,1,3,6280043.5000000,1839207.5000000
179,1,3,6280020.0000000,1839221.3750000
180,1,3,6279995.5000000,1839237.7500000
181,1,3,6279971.5000000,1839254.7500000
182,1,3,6279947.5000000,1839271.1250000
187,1,2,6280299.0000000,1839222.1250000
188,1,2,6280310.5000000,1839238.8750000
189,1,2,6280321.0000000,1839249.6250000
190,1,2,6280335.5000000,1839261.8750000
191,1,2,6280350.0000000,1839270.0000000
192,1,2,6280365.0000000,1839275.0000000
193,1,2,6280382.5000000,1839278.6250000
194,1,2,6280399.0000000,1839277.7500000
195,1,2,6280416.5000000,1839277.7500000
196,1,2,6280432.0000000,1839272.7500000
197,1,2,6280449.0000000,1839266.8750000
198,1,2,6280460.5000000,1839257.7500000
199,1,2,6280474.0000000,1839245.6250000
200,1,2,6280484.0000000,1839232.5000000
201,1,2,6280493.5000000,1839218.5000000
202,1,2,6280499.5000000,1839201.3750000
203,1,2,6280504.0000000,1839185.5000000
204,1,2,6280507.5000000,1839171.0000000
205,1,2,6280505.5000000,1839152.1250000
206,1,2,6280502.0000000,1839136.2500000
207,1,2,6280495.0000000,1839121.3750000
208,1,2,6280486.5000000,1839104.1250000
209,1,2,6280287.0000000,1839127.6250000
210,1,2,6280292.5000000,1839112.2500000
211,1,2,6280302.5000000,1839097.3750000
212,1,2,6280311.0000000,1839084.2500000
213,1,2,6280324.5000000,1839073.0000000
214,1,2,6280338.0000000,1839065.3750000
215,1,2,6280353.5000000,1839059.0000000
216,1,2,6280368.0000000,1839055.3750000
217,1,2,6280385.5000000,1839051.7500000
218,1,2,6280404.0000000,1839054.0000000
219,0,3,6280295.5000000,1838870.1250000
220,0,4,6280305.0000000,1838844.7500000
